Altium Designer Pick and Place Locations
D:\Altium Project\orenelimelech11 Projects\0 to 10V output\0 to 10V output\Project Outputs for 0 to 10V output\Pick Place\Pick Place for PCB2.txt

========================================================================================================================
File Design Information:

Date:       12/04/23
Time:       03:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                               
R78        1K                  TopLayer R_0805                 1153.543      3000.000      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R77        1K                  TopLayer R_0805                 2090.551      2996.063      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R76        1K                  TopLayer R_0805                 433.071       2988.189      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R75        1K                  TopLayer R_0805                 3704.724      3007.874      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R74        1K                  TopLayer R_0805                 2842.520      3000.000      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R73        1K                  TopLayer R_0805                 2948.819      3000.000      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R72        1K                  TopLayer R_0805                 2000.000      2996.063      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R71        1K                  TopLayer R_0805                 1240.158      3000.000      270      "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R70        1K                  TopLayer R_0805                 1586.614      472.441       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R69        1K                  TopLayer R_0805                 944.882       472.441       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R68        1K                  TopLayer R_0805                 3669.291      464.567       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R67        1K                  TopLayer R_0805                 3555.118      472.441       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R66        1K                  TopLayer R_0805                 1952.756      456.693       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R8         1K                  TopLayer R_0805                 3133.858      464.567       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R7         1K                  TopLayer R_0805                 2708.661      464.567       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R6         1K                  TopLayer R_0805                 2031.496      452.756       90       "???? 1000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                               
R65        10K                 TopLayer R_0805                 1594.488      1377.953      0        "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R64        10K                 TopLayer R_0805                 1594.488      1555.118      0        "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R63        10K                 TopLayer R_0805                 1594.488      1466.535      180      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R62        10K                 TopLayer R_0805                 1968.504      2309.055      270      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R61        10K                 TopLayer R_0805                 1879.921      2309.055      90       "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R60        10K                 TopLayer R_0805                 1584.646      2096.457      0        "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R59        10K                 TopLayer R_0805                 1594.488      1643.701      180      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R58        10K                 TopLayer R_0805                 2057.087      2311.024      90       "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R57        10K                 TopLayer R_0805                 2135.827      1240.158      90       "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R56        10K                 TopLayer R_0805                 2047.244      1240.158      270      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R55        10K                 TopLayer R_0805                 1958.661      1242.126      90       "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R54        10K                 TopLayer R_0805                 1594.488      1998.031      0        "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R53        10K                 TopLayer R_0805                 2224.409      1240.158      270      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R52        10K                 TopLayer R_0805                 1594.488      1820.866      0        "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R51        10K                 TopLayer R_0805                 1594.488      1909.449      180      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
R50        10K                 TopLayer R_0805                 1594.488      1732.283      180      "???? 10000O ± 1.00% 0.125W ± 100ppm/? 0805"                                                                                                                                                                                                              
